ad_id,total_area,ceiling_height,room_count,room_isolate,room_adjacent,room_both_variant,metro_time_minutes,transport_walk,transport_car,metro_station_encoded,flat,flat_all,type_bilding,parking_num,price_rent,deposit,prepayment_cnt_mon,commun_incl,renovation_num,balcony_count,loggia_count,windows_view_num,union_bath_num,split_bath_num,pass_elev,gruz_elev,garbage_chute_num,with_children,with_pets,dishwasher,bathtub,refrigerator,phone,kitchen_furniture,furniture_in_rooms,internet,washing_machine,air_conditioner,tv,shower_cabin,street_house_encoded,price_log,price_log_scaled
274739340,80.0,2.7,3,0,0,0,5,0,1,110,3,14,3,2,80000.0,1.0,1.0,1.0,0,1,0,2,0,1,1,0,2,1,0,1,1,0,0,0,1,1,1,0,0,0,1620,11.289794413577894,0.3832476479080933
163936825,120.0,2.74,4,1,0,0,20,1,0,192,13,17,3,0,80000.0,1.0,1.0,1.0,2,0,1,3,2,0,1,1,2,1,0,1,1,1,1,1,1,1,1,0,1,1,1388,11.289794413577894,0.3832476479080933
274936222,47.0,3.1,2,0,0,1,17,1,0,192,25,28,2,4,85000.0,1.0,1.0,1.0,0,0,1,2,1,0,1,1,2,1,0,1,0,0,0,0,1,1,1,1,0,1,1623,11.350418300109132,0.4705547454863988
274059085,96.0,2.62,4,0,0,1,18,1,0,192,2,22,3,2,95000.0,1.0,1.0,1.0,0,1,0,3,0,1,1,1,2,1,1,1,0,0,0,0,0,1,0,1,0,1,1388,11.461642696843066,0.6307338401363964
274779583,51.0,3.2,2,1,0,0,0,1,0,254,19,30,2,4,100000.0,1.0,1.0,1.0,4,0,0,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,0,1300,11.51293546492023,0.7046027879028314
274842619,77.0,3.0,3,0,0,0,10,1,0,192,9,28,2,4,110000.0,1.0,1.0,1.0,3,0,1,2,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1623,11.608244735642321,0.8418618168956893
274401238,108.0,3.0,2,0,0,1,20,1,0,192,16,24,5,2,120000.0,1.0,1.0,1.0,0,1,1,2,1,1,1,1,2,1,0,1,1,0,0,0,1,1,1,1,0,1,1620,11.695255355062795,0.9671695969598689
274345444,36.5,2.7,1,0,0,0,20,1,0,192,12,14,5,2,25000.0,1.0,1.0,1.0,2,1,1,1,1,0,1,1,2,1,1,0,0,1,0,1,1,1,1,0,1,1,1620,10.12667110305036,-1.2918168551818663
274502215,49.0,2.64,3,0,0,1,25,1,0,192,1,9,3,0,25000.0,1.0,1.0,1.0,2,0,0,2,0,1,1,0,2,1,1,0,0,1,0,1,1,0,1,0,0,0,1620,10.12667110305036,-1.2918168551818663
273101276,40.0,2.7,1,0,0,0,19,1,0,254,12,17,2,0,28000.0,1.0,1.0,1.0,2,1,0,2,1,0,1,0,2,0,0,0,1,1,1,1,1,1,1,0,0,0,464,10.239995502805316,-1.1286134547810875
274974624,35.0,2.64,1,0,0,0,11,1,0,19,4,9,0,0,29000.0,1.0,1.0,1.0,2,1,0,2,1,0,1,0,2,1,1,0,1,1,0,0,1,1,1,0,0,0,1373,10.275085591132715,-1.0780786913252176
274715805,39.0,2.7,1,0,0,0,12,1,0,19,9,17,2,2,30000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,0,2,1,1,0,1,1,0,1,1,1,1,1,1,0,520,10.308985993422082,-1.0292572465124286
272190901,39.0,2.85,1,0,0,0,19,1,0,192,14,17,3,0,30000.0,1.0,1.0,0.0,2,1,0,2,0,1,1,1,2,1,1,0,0,1,1,1,1,1,1,0,1,0,1620,10.308985993422082,-1.0292572465124286
256629564,34.0,2.64,1,0,0,0,17,1,0,19,5,9,0,0,30000.0,1.0,1.0,1.0,3,0,0,2,1,0,1,0,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1373,10.308985993422082,-1.0292572465124286
274434524,38.0,2.74,1,0,0,0,4,1,0,254,17,17,3,0,30000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,0,2,0,0,0,1,1,0,1,1,0,1,0,0,0,1300,10.308985993422082,-1.0292572465124286
274998332,35.0,2.48,1,0,0,0,8,1,0,254,3,16,7,0,30000.0,1.0,1.0,1.0,2,0,1,2,1,0,1,0,2,1,0,0,1,1,0,1,1,0,1,0,1,0,464,10.308985993422082,-1.0292572465124286
274967432,17.0,2.5,1,0,0,0,3,0,1,254,4,9,3,2,32000.0,1.0,1.0,1.0,2,0,0,2,1,0,1,0,2,0,0,0,0,1,0,1,1,1,1,0,0,1,520,10.373522431293592,-0.9363155134597163
